meaning,code1,code2,length,complex_simple,path,orientation,aperture,full_repeat,return,trill,second_hand,path2,orientation2,aperture2,full_repeat2,return2,trill2
впервые,0,0,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вперед,0,1,28,0,1,0,0,0,0,0,0,,,,,,
впереди,0,1,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0
впечатление,0,1,34,0,0,0,0,0,0,0,0,,,,,,
впитывать,1,1,21,1,1,0,1,1,1,0,1,0,0,0,0,0,0
враг,0,1,14,0,0,1,0,0,0,0,0,,,,,,
вращаться,1,1,18,1,0,1,0,1,1,0,1,,,,,,
вред,1,1,16,1,1,0,0,1,1,0,0,,,,,,
вредить,1,1,14,1,1,0,0,1,1,0,1,0,0,0,0,0,0
вредоносный,0,1,13,1,1,0,0,1,1,0,1,0,0,0,0,0,0
временный,0,1,13,1,1,0,0,0,0,1,0,,,,,,
время,1,0,4,1,0,0,1,0,0,1,0,,,,,,
все включено,0,0,4,1,1,1,0,0,0,0,1,0,0,0,0,0,0
все,0,1,4,1,1,0,1,0,0,0,0,,,,,,
всегда,1,1,7,1,1,0,0,1,1,0,0,,,,,,
всего,1,1,4,1,1,0,1,0,0,0,1,,,,,,
всемогущество,0,1,3,0,1,0,0,0,0,0,1,,,,,,
всемогущий,0,1,5,0,1,0,0,0,0,0,1,,,,,,
всесильный,0,0,12,0,1,0,0,0,0,0,1,,,,,,
вскружить голову,0,1,3,1,1,1,0,1,0,0,0,,,,,,
вслух,0,1,7,1,0,0,0,0,0,1,0,,,,,,
вспыхивать,0,1,7,1,1,0,1,0,0,1,1,,,,,,
вспышка,0,1,22,1,0,0,1,0,1,0,1,0,0,0,0,0,0
вставать,0,1,6,0,1,0,0,0,0,0,1,,,,,,
вставить,0,1,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0
встречаться,0,1,16,0,1,0,0,0,0,0,1,,,,,,
вступить,0,1,3,0,0,1,0,0,0,0,1,,,,,,
вторгаться,0,1,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вторжение,0,1,3,0,1,0,0,0,0,0,1,,,,,,
вулкан,1,0,0,1,1,0,1,1,0,0,0,,,,,,
входить,0,0,25,0,0,1,0,0,0,0,1,0,0,0,0,0,0
вчера,0,1,8,0,0,1,0,0,0,0,0,,,,,,
выбирать,0,1,10,1,1,0,0,1,0,0,1,0,0,0,0,0,0
выбор,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
выборы,0,0,10,1,1,0,1,1,1,0,1,0,0,0,0,0,0
выбыть,0,1,4,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вывод,0,1,3,1,1,1,1,0,0,0,1,,,,,,
выгода,0,1,7,0,1,0,0,0,0,0,0,,,,,,
выдох,0,1,9,1,1,0,1,0,0,0,0,,,,,,
выдуманный,0,1,2,1,0,1,0,1,1,0,0,,,,,,
выдыхать,1,1,0,0,1,0,0,0,0,0,0,,,,,,
выжимать,0,1,18,1,1,0,1,0,0,0,1,,,,,,
выздоровление,0,1,8,1,1,0,1,0,0,0,1,,,,,,
вызывать,1,1,13,1,1,0,1,0,0,0,1,0,0,0,0,0,0
выкапывать,1,1,27,1,1,1,0,1,1,0,0,,,,,,
выкидыш,0,1,14,1,1,1,0,0,0,0,1,,,,,,
выключатель,0,1,4,1,0,1,0,1,1,0,0,,,,,,
выключить off,1,1,18,0,1,0,0,0,0,0,1,0,0,0,0,0,0
вылеты,0,0,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0
выливать,1,1,4,1,1,1,0,0,0,0,1,,,,,,
вымпел,0,1,19,1,1,0,1,0,0,0,1,0,0,0,0,0,0
выносливость,0,1,21,0,1,0,0,0,0,0,0,,,,,,
выплачивать,0,1,19,1,0,0,1,1,0,0,0,,,,,,
выполнение,0,0,11,0,1,0,0,0,0,0,1,0,0,0,0,0,0
выполнять,0,0,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0
выпускать,0,1,13,0,0,1,0,0,0,0,1,,,,,,
выражать,1,1,3,1,1,1,0,0,0,0,1,,,,,,
выращивание растений,0,1,19,1,1,0,1,0,0,1,1,0,0,0,0,0,0
выращивать растения,0,1,4,1,1,0,0,0,0,1,1,0,0,0,0,0,0
высокий,1,1,6,0,1,0,0,0,0,0,0,,,,,,
высокий; высокорослый,1,1,8,1,0,0,0,0,0,1,1,,,,,,
высокомерный,0,1,2,0,1,0,0,0,0,0,0,,,,,,
высота,0,1,6,0,1,0,0,0,0,0,0,,,,,,
выставка,1,1,11,1,1,0,0,1,0,0,1,,,,,,
высушивать,0,0,4,0,1,0,0,0,0,0,1,,,,,,
вытирать,0,0,14,1,1,0,0,1,1,0,0,,,,,,
выход,1,1,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0
выходные,0,1,30,1,0,0,0,0,0,1,1,,,,,,
вычитаемое,0,1,3,1,1,1,0,0,0,0,1,0,0,0,0,0,0
вычитание,0,0,5,0,1,0,0,0,0,0,0,,,,,,
вычитать,0,0,3,0,1,0,0,0,0,0,0,,,,,,
выше,1,1,2,0,1,0,0,0,0,0,0,,,,,,
вышивание крючком,0,0,33,1,1,0,0,1,1,0,1,0,0,0,0,0,0
вышивать,1,1,14,1,1,0,0,1,1,0,1,,,,,,
вышивка,0,1,18,1,1,0,0,1,1,0,1,,,,,,
вьетнамки,0,0,4,1,1,0,1,0,0,0,1,0,0,0,0,0,0
вязание,1,1,5,1,0,1,0,0,0,1,1,,,,,,
вязать,0,1,12,1,0,1,0,0,0,1,1,,,,,,
гавканье,0,0,18,1,0,0,0,0,0,1,0,,,,,,
гаечный ключ,0,1,8,1,0,0,0,0,0,1,1,,,,,,
газета,0,0,9,1,1,0,0,1,1,0,1,,,,,,
галерея,1,1,3,1,1,0,0,1,1,0,1,,,,,,
галлюцинировать,1,1,6,1,1,0,0,1,1,0,1,,,,,,
галогенная лампа,1,1,36,0,0,0,1,0,0,0,1,,,,,,
галстук,0,1,12,0,1,0,0,0,0,0,1,0,0,0,0,0,0
галстук бабочка,0,1,3,0,0,0,1,0,0,0,1,,,,,,
гамак,0,0,36,1,1,0,0,1,1,0,1,,,,,,
гамбургер,0,1,2,0,0,1,0,0,0,0,1,,,,,,
гандбол,1,1,6,1,1,1,0,0,0,0,0,,,,,,
